
334780;311180;301420;286745;302510;304665;301050;281230;277700;289085;274755;272500;264660;248695;241420;227320;237005;235020;247955;232395;231345;239750;210585;244645;214095;204085;214320;217805;197855;229925;
317250;299470;309580;292285;3138115;295055;299640;293430;299525;300175;307610;302440;300495;284305;276100;284195;286390;289985;308295;282455;297755;322345;276665;315405;290355;302825;300625;292305;285695;305290;
291215;286555;295670;294495;303255;292320;300540;312215;304620;353135;308175;313490;320975;303545;293435;293505;313805;319800;317395;311300;373505;340880;311255;364030;335750;315515;327165;336670;340380;358445;

174130;180275;171660;181315;169495;171155;169210;169930;168855;196885;170565;171270;161670;164445;159285;172020;158225;161065;157640;164645;156410;150870;164225;167770;162610;155090;150325;154945;154960;159890;
233890;255235;242170;247370;250040;237005;250010;256175;250375;287770;254665;258700;248095;258035;249265;271710;250935;259375;255305;273605;273730;259715;270860;282480;278185;264245;269680;285815;288965;296380;
242395;265620;253205;263685;261905;253105;270520;270570;269785;305510;275170;279750;274005;283920;274605;290435;277605;298450;289950;295880;302970;296825;311620;321395;308520;305820;308105;327850;337215;338025;

2647060;2702890;2833275;2566545;2648060;2656715;2672410;2632160;2637140;2771870;2648100;2639350;2573250;2656135;2600505;2682115;2725655;2690120;2620615;2655910;2620940;2591835;2664695;2638110;2651075;2713660;2645865;2637345;2788840;2643510;
2528000;2522975;2705220;2462655;2503710;2588820;2508430;2502735;2541855;2546245;2703355;2555735;2533425;2515245;2606655;2510505;2639450;2593570;2576915;2541935;2510340;2540715;2509580;2662870;2779110;2638380;2606840;2635950;3012805;2613000;
2483920;2519785;2668400;2493525;2438600;2554030;2507255;2470565;2484245;2583020;2508745;2469765;2507335;2524940;2508285;2470235;2549625;2559560;2638400;2569260;2496840;2523620;2501745;2542735;2778635;2573975;2529375;2579290;2841615;2591285;

1839870;1969050;1949750;1822890;1805905;1813790;1886980;1837595;1843380;1858640;1775175;1808040;1768925;1878710;1793210;1863120;1802635;1898400;1742530;1723980;1801320;1774925;1728990;1861055;1776625;1751060;1807065;1765815;1736760;1761130;
2484115;2672160;2621985;2438540;2435495;2383120;2374110;2442530;2446910;2391180;2515905;2391860;2392270;2441800;2473590;2433980;2361435;2571460;2345365;2420295;2479545;2364560;2543855;2444270;2376005;2456880;2462915;2503085;2415905;2419505;
2472580;2709075;2668040;2524000;2496760;2438145;2423540;2543395;2512680;2549455;2505605;2477110;2443665;2492125;2462735;2524635;2528720;2491115;2463480;2495255;2466510;2535870;2553830;2561230;2445365;2463705;2483440;2512120;2519000;2472400;


283150;253800;253895;274000;253430;245010;251095;242195;254515;250220;248340;234895;253120;239960;233630;241485;235995;238255;230405;220445;225540;217185;219605;207540;210305;227570;218890;220300;200175;200855;
273900;257875;248460;267550;269840;251365;275885;270340;262190;277720;276915;264510;261825;278955;266315;270240;310475;291420;278880;295335;275235;289990;293785;281785;287150;307385;300195;313250;288940;314545;
252155;259905;243350;272840;264160;251500;270055;277655;276405;269795;283170;275465;296210;283125;279865;303750;320015;312850;294660;305470;297255;303445;306985;307110;316480;339120;336070;350025;328600;351255;

191135;173600;181905;184895;183610;191940;183845;170830;167905;167905;175410;170985;166365;172860;162170;166435;156420;164525;157890;163430;152615;168500;157280;155090;160015;159015;152410;154285;146975;142070;
242910;237205;250740;243505;259760;257735;251400;245560;245965;249290;253425;257595;252645;261420;257950;266200;257705;265235;257595;269140;270580;285520;268345;274280;276415;294525;280055;291995;274735;278995;
248620;241585;263175;257760;273450;268640;276980;261410;264880;260070;278000;288070;282630;284035;280265;283760;287325;296790;287450;309600;290960;321305;312745;315270;319260;326505;352165;325890;311870;328135;

2742975;3218225;2977525;2788590;2856650;2877750;2853865;2800530;2732445;2704675;2905745;2825565;2836730;2898930;2863765;2843600;2776170;2657345;2743935;2656780;2749310;2678045;2863730;2966515;2745555;2701610;2815685;2768380;2801065;2768730;
2547980;2881295;2714865;2720220;2712555;2729290;2665295;2818955;2677060;2518035;2800250;2752375;2788670;2742255;2709265;2757565;2691715;2591730;2640285;2527995;2504995;2749430;2787170;2838005;2686445;2639580;2766470;2727725;2742125;2638920;
2583630;2977495;2679745;2618880;2635715;2684510;2621250;2633770;2647670;2636235;2784150;2738870;2757330;2696500;2597650;2722115;2863875;2507020;2547595;2512100;2564040;2601015;2888545;2783065;2647840;2702625;2831415;2760075;2799190;2567920;

1824935;1792195;1880940;1867205;1805455;1796570;1805460;1769090;1803775;1824595;1767605;1770020;1785300;1755115;1783865;1768005;1945710;1808080;1801775;1936285;1894090;1804240;1842745;1791660;1754645;1790715;1778835;1751110;1763975;1743205;
2434630;2341895;2395560;2462225;2442025;2438655;2407545;2383765;2530490;2451660;2431645;2320210;2463580;2408850;2406850;2440810;2444865;2452180;2405855;2381230;2476235;2454260;2534255;2438985;2469560;2422625;2373710;2407040;2412395;2406070;
